COWNNUM,OCCPCODE,CLTSEX,MARRYD,CLTTYPE,BILLCHNL,Count_product,Age_Product1,Age,Product_1,Product_2
10113298,1078,F,M,P,C,1,1,34,05_ILP 2016 - Prulink,01_Endowment
10113411,1078,F,M,P,C,1,1,24,02_CI Endowment,01_Endowment
10113490,1090,M,M,P,C,1,1,45,01_Endowment,01_Endowment
10113549,8,M,M,P,C,1,1,28,02_CI Endowment,01_Endowment
10113789,376,M,M,P,C,1,1,42,01_Endowment,01_Endowment
10113851,1401,M,M,P,C,1,1,37,02_CI Endowment,01_Endowment
10113900,1078,F,M,P,C,1,1,49,04_PruCare Plus,01_Endowment
10113940,2309,F,M,P,C,1,1,33,01_Endowment,01_Endowment
10115378,1078,F,M,P,C,1,1,32,04_PruCare Plus,01_Endowment
10115842,1450,F,M,P,C,1,1,23,02_CI Endowment,01_Endowment
10116504,2025,F,M,P,C,1,1,34,01_Endowment,01_Endowment
10117078,1078,F,M,P,C,1,1,40,02_CI Endowment,01_Endowment
10117727,2309,F,M,P,C,1,1,31,02_CI Endowment,01_Endowment
10117908,1516,F,M,P,C,1,1,41,02_CI Endowment,01_Endowment
